name,brand,os,cpu_brand,cpu_name,cpu_type,cpu_cores,cpu_threads,gpu_brand,gpu_name,gpu_vram,ram_capacity,ram_ddr_type,hdd,ssd,screen_size,aspect_ratio_category,screen_res,ppi,touchscreen,spec_score,user_rating,price
dell inspiron 16 5635 laptop (amd ryzen 5 7530u/ 8gb/ 512gb ssd/ win11),dell,windows,amd,ryzen 5 7530u,u,6,12,amd,integrated,0,8,ddr5,0,512,16,Widescreen (16:10),HD+,141.51,0,59,4,56170
dell vostro 5620 laptop (12th gen core i3/ 8gb/ 512gb ssd/ win11),dell,windows,intel,core i3 1215u,u,6,8,intel,integrated,0,8,ddr4,0,512,16,Widescreen (16:10),HD+,137.68,0,55,4.5,36999
dell inspiron 15 3520 d560900win9b laptop (12th gen core i5/ 8gb/ 256gb ssd/ win11),dell,windows,intel,core i5 1235u,u,10,12,intel,integrated,0,8,ddr4,0,256,15.6,Widescreen (16:10),HD+,141.21,0,56,4.4,63200
dell inspiron 3511 2022 laptop (11th gen core i5/ 8gb/ 1tb ssd/ win11 home),dell,windows,intel,core i5 1135g7,NULL,4,8,intel,integrated,0,8,ddr4,0,1024,15.6,Widescreen (16:10),HD+,141.21,0,54,4.75,63658
dell inspiron 5620 icc-c783531win8 laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11/ 2gb graph),dell,windows,intel,core i5 1240p,p,12,16,nvidia,geforce mx570,2,16,ddr4,0,512,16,Widescreen (16:10),HD+,137.68,0,69,4.65,98990
dell xps 13 plus 9320 2023 laptop (13th gen core i7/ 32gb/ 1tb ssd/ win11),dell,windows,intel,core i7 1360p,p,12,16,intel,integrated,0,32,ddr5,0,1024,13.4,Widescreen (16:10),3K+,337.93,1,79,4.35,204590
dell xps 17 9730 laptop (13th gen core i9/ 32gb/ 1tb ssd/ win11/ 8gb graph),dell,windows,intel,core i9 13900h,h,14,20,nvidia,geforce rtx 4070,8,32,ddr5,0,1024,17,Widescreen (16:10),3K+,266.37,1,93,4,219990
dell xps 9530 laptop (13th gen core i7/ 16gb/ 512gb ssd/ win11/ 6gb graph),dell,windows,intel,core i7 13700h,h,14,20,nvidia,rtx 4050,6,16,ddr5,0,512,15.6,Widescreen (16:10),3K+,261.25,1,80,4.3,253175
dell xps 9530 2023 laptop (13th gen core i7/ 32gb/ 1tb ssd/ win11/ 6gb graph),dell,windows,intel,core i7 13700h,h,14,20,nvidia,rtx 4050,6,32,ddr5,0,1024,15.6,Widescreen (16:10),3K+,261.25,1,84,4.4,279990
dell latitude 5420 gd723xe42 laptop (11th gen core i5/ 8gb/ 512gb ssd/ win10 pro),dell,windows,intel,core i5 1135g7,NULL,4,8,intel,integrated,0,8,ddr4,0,512,14,Widescreen (16:10),HD+,157.35,0,55,4.15,89990
dell g16-7630 2023 gaming laptop (13th gen core i7/ 16gb/ 1tb ssd/ win11/ 8gb graph),dell,windows,intel,core i7 13650hx,hx,14,NULL,nvidia,geforce rtx 4060,8,16,ddr5,0,1024,16,Widescreen (16:10),3K+,188.68,0,74,4.05,158145
dell vostro 3510 d585049win8 laptop (11th gen core i3/ 8gb/ 1tb 256gb ssd/ win11 home),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,8,ddr4,1024,256,15.6,Widescreen (16:10),HD+,141.21,0,56,4.2,42750
dell inspiron 7630 ic7630ghhrh001ors1 2 in 1 laptop (13th gen core i5/ 8gb/ 512gb ssd/ win11 home),dell,windows,intel,core i5 1335u,u,10,12,intel,integrated,0,8,ddr5,0,512,16,Widescreen (16:10),HD+,141.51,1,63,4.05,75205
dell g16-7630 gaming laptop (13th gen core i9/ 16gb/ 1tb ssd/ win11/ 8gb graph),dell,windows,intel,core i9 13900hx,hx,24,32,nvidia,geforce rtx 4060,8,16,ddr5,0,1024,16,Widescreen (16:10),3K+,188.68,0,75,4.6,137990
